VL No,Thara
603,4
599,4
600,4
601,4
61,4
596,4
597,4
598,4
593,4
594,4
595,4
1010,4
1011,4
590,4
591,4
592,4
586,4
587,4
588,4
589,4
582,4
583,4
584,4
585,4
573,4
576,4
577,4
578,4
579,4
580,4
581,4
1182,4
1183,4
534,4
1148,4
1156,4
693,4
694,4
667,4
672,4
1155,4
1154,4
1189,4
673,4
674,4
702,4
703,4
704,4
688,4
689,4
690,4
691,4
692,4
683,4
684,4
685,4
686,4
687,4
62,4
679,4
681,4
677,4
678,4
680,4
682,4
675,4
676,4
646,4
648,4
651,4
652,4
644,4
645,4
647,4
649,4
650,4
653,4
641,4
642,4
643,4
636,4
637,4
638,4
639,4
640,4
633,4
634,4
635,4
630,4
631,4
632,4
669,4
670,4
671,4
664,4
665,4
666,4
660,4
661,4
662,4
663,4
656,4
657,4
658,4
659,4
654,4
655,4
626,4
627,4
628,4
629,4
625,4
623,4
624,4
619,4
620,4
621,4
622,4
613,4
614,4
615,4
616,4
617,4
618,4
1177,4
610,4
611,4
612,4
1153,4
604,4
1062,4
977,4
978,5
980,5
979,5
981,5
982,5
983,5
987,5
988,5
990,5
991,5
989,5
984,5
985,5
986,5
1170,5
1169,5
1168,5
1167,5
1042,5
1043,5
1044,5
1045,5
1046,5
1047,5
1048,5
1049,5
1050,5
1052,5
1054,5
1028,5
1029,5
1030,5
1031,5
1032,5
1009,5
1012,5
1013,5
772,5
773,5
1003,5
1007,5
1008,5
1004,5
1005,5
1006,5
1024,5
1025,5
1026,5
1027,5
1020,5
1021,5
1022,5
1023,5
951,5
952,5
1018,5
1019,5
1017,5
953,5
954,5
955,5
956,5
957,5
958,5
959,5
960,5
1014,5
1015,5
1016,5
998,5
999,5
1000,5
1001,5
1002,5
1033,5
1034,5
1035,5
1036,5
1037,5
1038,5
1039,5
124,5
125,5
126,5
1040,5
1041,5
992,5
993,5
994,5
995,5
970,5
965,5
967,5
961,5
962,5
963,5
964,5
968,5
966,5
969,5
996,5
997,5
971,5
972,5
973,5
1166,5
974,5
975,5
976,5
868,5
869,5
870,5
871,5
877,5
878,5
879,5
880,5
881,5
882,5
883,5
884,5
885,5
886,5
887,5
888,5
889,5
890,5
891,5
892,5
893,5
894,5
895,5
896,5
897,5
900,5
901,5
902,5
903,5
904,5
905,5
69,5
906,5
907,5
908,5
909,5
910,5
911,5
912,5
913,5
918,5
915,5
916,5
65,5
914,5
917,5
919,5
920,5
921,5
922,5
923,5
876,5
924,5
925,5
926,5
927,5
872,5
873,5
874,5
875,5
928,5
929,5
930,5
866,5
867,5
1165,5
1164,5
1163,5
862,5
863,5
864,5
865,5
858,5
859,5
860,5
861,5
832,5
833,5
834,5
835,5
836,5
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,5
1162,5
1161,5
845,5
846,5
847,5
848,5
849,5
851,5
852,5
855,5
857,5
850,5
853,5
854,5
856,5
826,5
827,5
828,5
829,5
830,5
831,5
68,5
818,5
819,5
820,5
821,5
822,5
823,5
824,5
825,5
931,5
932,5
933,5
934,5
935,5
936,5
811,5
812,5
813,5
814,5
815,5
816,5
817,5
67,5
806,5
807,5
808,5
809,5
810,5
803,5
804,5
805,5
799,5
800,5
801,5
802,5
937,5
938,5
939,5
940,5
941,5
942,5
943,5
944,5
945,5
946,5
947,5
796,5
797,5
798,5
793,5
794,5
795,5
1160,5
1159,5
1158,5
791,5
792,5
788,5
789,5
790,5
66,5
786,5
787,5
948,5
949,5
950,5
782,5
783,5
784,5
785,5
779,5
780,5
781,5
774,5
775,5
776,5
777,5
778,5
